日期,城市,租用中用户数,渠道在租用户数,直客在租用户数,企业包在租用户数,寄存用户数,新增用户数,新增渠道用户数,新增直客用户数,新增企业包用户数,退租用户数,渠道退租用户数,直客退租用户数,企业包退租用户数,,,
2026-01-29,杭州市,21,18,3,0,0,2,2,0,0,0,0,0,0,,,
2026-01-29,武汉市,2331,1388,915,28,198,8,7,1,0,27,21,5,1,,,
2026-01-29,温州市,1384,678,290,416,68,21,18,0,3,27,19,4,4,,,
2026-01-29,芜湖市,404,105,298,1,25,1,0,1,0,2,1,0,1,,,
2026-01-29,苏州市,8046,1898,4618,1530,596,28,18,9,1,95,33,40,22,,,
2026-01-29,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-29,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-29,青岛市,483,453,26,4,45,3,3,0,0,6,5,1,0,,,
2026-01-30,上海市,3,0,3,0,2,0,0,0,0,0,0,0,0,,,
2026-01-30,南京市,5038,1529,1948,1561,247,13,7,5,1,24,8,9,7,,,
2026-01-30,南通市,809,274,465,70,57,2,1,0,1,7,2,4,1,,,
2026-01-30,台州市,176,48,32,96,4,0,0,0,0,3,0,1,2,,,
2026-01-30,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-30,宁波市,3724,1530,1619,575,248,17,8,1,8,37,16,11,10,,,
2026-01-30,常州市,2151,735,1117,299,152,4,1,1,2,12,6,5,1,,,
2026-01-30,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-30,无锡市,833,389,407,37,107,4,4,0,0,9,4,5,0,,,
2026-01-30,杭州市,23,19,4,0,0,2,1,1,0,0,0,0,0,,,
2026-01-30,武汉市,2311,1371,912,28,207,6,6,0,0,30,25,5,0,,,
2026-01-30,温州市,1368,669,290,409,75,11,8,1,2,18,11,4,3,,,
2026-01-30,芜湖市,398,105,292,1,27,0,0,0,0,6,1,5,0,,,
2026-01-30,苏州市,7976,1886,4584,1506,600,18,13,4,1,72,20,39,13,,,
2026-01-30,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-30,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
